Participant_ID,Extroverted,Critical,Dependable,Anxious,Open,Reserved,Sympathetic,Disorganized,Calm,Conventional
10345,6,2,5,3,6,2,6,3,5,3
11492,6,2,6,2,5,2,6,2,6,3
12178,3,6,6,3,4,6,3,2,5,4
16042,3,2,6,3,3,5,6,2,5,6
16234,2,5,5,6,3,6,3,2,3,5
17304,6,2,7,3,5,2,6,2,6,3
18724,2,3,6,3,2,6,4,2,5,6
21566,2,6,4,5,5,6,3,4,3,2
22826,1,5,2,4,2,7,1,5,3,4
23105,6,2,5,5,5,2,6,3,4,3
23429,3,2,6,2,4,4,6,2,6,4
23564,2,5,5,7,2,6,2,2,2,6
24311,2,4,2,5,4,6,3,6,2,3
26586,3,2,5,2,5,5,5,3,6,4
26627,3,4,6,7,3,4,5,2,2,5
29239,3,6,5,7,5,5,4,4,2,4
29937,4,2,6,2,6,5,5,3,6,3
30122,2,2,5,6,4,6,7,3,3,4
31717,2,3,6,2,4,6,3,2,6,6
32062,2,3,4,5,3,5,6,4,3,4
32418,5,6,5,3,5,3,2,3,5,3
32999,4,2,5,2,3,3,6,3,6,6
33211,5,2,5,2,6,3,5,3,6,4
33270,4,2,6,3,3,5,5,2,5,6
35669,3,2,5,2,4,5,6,3,6,4
37239,6,2,6,3,4,2,7,3,5,4
37559,5,5,7,2,6,3,3,2,6,3
37703,5,2,7,5,4,3,6,2,4,5
38794,4,3,7,3,3,4,4,2,5,5
38957,3,4,5,6,5,4,5,4,3,4
39320,2,3,5,5,3,6,3,3,4,6
39756,2,3,5,6,5,5,4,3,3,4
40326,3,2,5,3,7,5,6,3,5,2
40358,2,6,3,3,3,5,3,4,4,5
40377,5,2,5,2,6,3,6,3,6,3
40570,3,5,4,3,7,4,4,4,5,2
41227,2,4,4,7,2,6,4,4,2,6
41384,6,7,3,6,2,2,1,5,1,4
41788,2,6,4,6,6,6,4,4,2,2
41919,4,3,3,4,5,3,4,6,4,4
43118,3,3,6,5,3,5,5,3,4,5
43294,5,4,6,2,4,3,5,3,6,4
44256,5,2,6,5,4,3,5,3,4,5
46188,5,2,5,3,6,3,5,3,6,4
46509,3,2,5,3,4,5,6,3,5,4
46711,2,3,7,2,3,7,3,2,6,6
46796,5,5,4,3,6,3,4,4,5,3
47804,4,2,6,3,5,4,6,3,6,4
48354,3,5,5,7,3,4,4,3,2,5
49061,3,6,5,4,7,4,4,3,4,2
49157,2,6,6,6,2,4,2,3,2,5
50861,3,2,7,1,3,4,4,2,7,5
50862,5,2,6,2,4,3,5,2,6,3
50895,4,2,5,2,5,4,6,3,6,4
53025,2,3,5,6,3,6,5,3,3,4
53958,5,4,5,2,7,3,3,4,5,2
54165,2,3,4,7,2,6,4,4,2,5
54409,5,5,3,3,6,3,3,6,5,2
54761,4,2,5,2,7,4,5,3,6,2
55599,3,4,6,5,3,4,4,3,4,5
59088,5,2,7,3,5,3,6,2,6,3
59741,3,2,5,2,7,5,4,4,6,3
61444,6,2,4,2,7,2,5,4,5,2
62828,6,2,6,2,5,2,7,3,6,3
63092,4,3,7,5,4,3,7,2,4,4
63396,6,6,4,3,4,2,3,4,4,3
63854,4,3,5,7,5,4,6,3,3,4
65180,3,7,5,6,3,4,2,3,2,4
65534,2,2,6,2,2,6,4,2,6,6
65978,2,3,4,6,5,5,4,3,3,4
67900,1,5,3,7,1,7,2,5,1,5
69820,3,5,3,7,3,5,6,4,2,4
70424,2,2,4,3,3,6,5,4,5,4
71586,2,3,5,3,7,6,5,3,5,3
71591,4,6,3,5,6,3,2,4,3,3
71920,3,5,4,4,6,4,4,3,5,3
72945,2,3,5,3,5,6,4,2,6,4
74568,6,3,5,2,6,2,6,3,5,3
76134,3,6,4,6,5,4,3,3,3,4
77117,3,3,5,5,5,4,5,3,4,5
81053,5,4,6,2,3,3,2,2,5,3
82305,3,3,5,4,5,4,4,3,4,4
83111,2,5,4,7,4,5,3,4,2,4
83220,3,2,6,2,6,4,4,2,6,3
84409,2,3,4,4,2,6,3,3,4,6
87091,3,6,5,6,4,4,6,3,3,3
87842,4,2,5,2,4,4,5,3,7,6
88009,2,5,5,4,5,6,3,2,4,4
88147,3,4,7,6,3,4,4,3,3,4
89703,2,3,5,6,5,4,6,3,4,4
91115,6,2,6,2,6,2,5,2,6,3
91981,4,2,7,3,6,4,4,2,6,3
92241,2,3,6,5,3,6,2,2,2,5
94161,2,3,4,3,3,5,3,4,6,4
94659,2,2,5,6,4,7,6,3,3,4
95066,3,2,5,3,7,4,6,3,6,3
95835,2,6,5,3,3,5,3,4,4,6
98498,2,2,4,7,4,5,4,5,3,4
98860,4,2,6,5,4,3,6,3,4,4
99496,4,4,7,2,6,4,3,2,6,4
