Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Primary Evidence (Quote),Reasoning Summary
9804092,4,9,10,4,7,We might go out for dinner at a restaurant,"Score (10/10) reflects dense usage of Extroversion markers like 'go, we, out'."
9804125,4,5,4,3,5,yes Where are you located oh i have crippling anxiety really,"Score (5/10) reflects dense usage of Neuroticism markers like 'anxiety, i'."
9804355,2,5,6,2,7,I loved English,Score (7/10) reflects dense usage of Neuroticism markers like 'i'.
9804410,3,3,3,4,7,I have been depressed,"Score (7/10) reflects dense usage of Neuroticism markers like 'i, depressed'."
9804421,4,2,3,1,5,""" I don't cope, I solve problems You have no problems I'm tired of you...","Score (5/10) reflects dense usage of Neuroticism markers like 'my, i, tired'."
9804579,5,2,2,2,7,I'm a vegetarian so no turkey for me,"Score (7/10) reflects dense usage of Neuroticism markers like 'i, me'."
9804926,4,8,2,3,6,I want to own a business and work independantly,"Score (8/10) reflects dense usage of Conscientiousness markers like 'work, business'."
9805587,3,2,5,3,7,I am terrible at design,"Score (7/10) reflects dense usage of Neuroticism markers like 'i, terrible'."
10117124,4,6,3,2,6,I try to distract myself honestly,"Score (6/10) reflects dense usage of Neuroticism markers like 'myself, my, i'."
10117126,6,3,4,3,8,"I am alright, and yourself",Score (8/10) reflects dense usage of Neuroticism markers like 'i'.
10117128,4,2,3,7,8,ohh my bad,"Score (8/10) reflects dense usage of Neuroticism markers like 'bad, my'."
10117133,3,6,3,2,8,"I'm good, but a little tired","Score (8/10) reflects dense usage of Neuroticism markers like 'i, tired'."
10117140,2,6,8,2,8,I completely understand,Score (8/10) reflects dense usage of Neuroticism markers like 'i'.
10117146,2,2,3,4,6,"Yes, I agree",Score (6/10) reflects dense usage of Neuroticism markers like 'i'.
10117148,3,5,4,3,7,I may have to try doing that myself,"Score (7/10) reflects dense usage of Neuroticism markers like 'myself, my, i'."
10117150,3,5,4,2,7,THat I really like to spend time by myself...,"Score (7/10) reflects dense usage of Neuroticism markers like 'myself, my, i'."
10117154,3,3,4,3,7,I'm terrible with decisions myself,"Score (7/10) reflects dense usage of Neuroticism markers like 'myself, my, i'."
10117165,5,3,6,2,3,We are all being judged constantly,Score (6/10) reflects dense usage of Extroversion markers like 'we'.
