Participant_ID,Extroverted,Critical,Dependable,Anxious,Open,Reserved,Sympathetic,Disorganized,Calm,Conventional
9804092,4,1,6,6,5,4,7,2,2,3
9804125,3,7,2,7,6,2,1,6,1,1
9804355,6,2,7,3,5,2,7,1,6,5
9804410,2,5,3,7,6,6,5,5,1,4
9804421,5,7,4,4,4,3,1,4,3,4
9804579,2,3,5,6,6,6,5,4,3,4
9804926,3,3,5,6,6,5,5,4,3,4
9805587,4,2,5,6,6,4,7,4,3,4
10117124,2,2,6,5,6,6,7,3,5,4
10117126,6,2,6,2,4,3,6,2,6,5
10117128,5,3,6,2,6,4,5,3,6,3
10117133,3,5,6,4,3,4,4,2,5,6
10117140,6,2,7,2,5,2,7,2,6,5
10117146,4,4,5,4,4,4,4,3,4,6
10117148,2,2,5,7,5,5,6,4,2,4
10117150,2,3,6,6,4,6,6,2,4,5
10117154,1,5,4,7,6,6,4,4,2,2
10117165,5,2,7,3,7,3,6,2,6,4
10117171,1,5,5,7,7,6,5,3,2,3
10117181,6,2,5,3,6,2,7,4,6,3
10117189,4,2,5,5,6,4,7,3,4,4
10117196,3,6,4,3,3,6,2,3,5,5
10117204,2,4,6,3,5,5,4,2,6,5
10117263,3,2,6,4,4,4,5,2,5,5
10117266,4,3,7,4,7,4,5,2,5,3
10117310,3,1,6,3,3,5,7,2,6,6
10117352,6,2,5,4,7,2,6,3,5,4
10117424,6,1,6,2,4,2,7,2,7,6
10117478,4,7,5,3,6,4,2,3,4,2
10117696,4,2,5,4,5,4,6,3,5,5
10117760,4,2,5,3,6,4,6,3,6,4
10117874,6,1,6,3,5,2,7,2,6,5
10117912,5,2,5,3,5,3,6,3,6,5
10117950,4,4,6,3,7,4,5,3,6,2
10118016,3,5,6,3,7,5,4,2,6,3
10118261,5,2,5,3,6,3,6,4,6,4
10118268,2,6,5,3,7,5,3,2,5,1
10118299,4,2,5,5,6,4,6,3,5,4
10269258,3,4,3,6,5,4,4,5,3,3
10269277,4,2,5,6,5,4,6,3,4,5
10269286,3,4,6,3,5,5,5,2,6,6
10269296,6,2,7,3,5,3,5,2,6,5
10269305,2,3,5,7,4,5,5,4,2,5
10269314,5,2,7,3,7,3,5,1,6,3
10269319,6,1,6,2,4,2,7,2,6,6
10269353,5,2,5,3,6,3,6,3,6,2
10269413,2,6,5,4,4,6,3,2,4,2
10269434,3,3,5,3,5,5,5,3,5,4
10269440,4,3,6,5,4,4,5,3,4,5
10269445,2,2,5,7,3,5,6,4,2,5
10269450,3,2,5,7,4,5,6,3,2,5
10269475,2,2,6,2,5,5,5,2,6,5
10269476,5,2,6,4,5,3,6,3,5,5
10269598,4,5,5,4,4,3,4,3,5,5
10269734,5,1,7,4,4,2,7,2,5,6
10269900,4,7,2,6,5,2,1,6,2,1
10269912,5,2,5,2,5,4,5,3,6,5
10269942,2,4,5,6,5,5,5,4,3,4
10270008,6,2,5,3,5,3,5,3,6,4
10270100,2,3,5,6,6,5,6,4,3,4
10270275,2,2,5,3,4,6,5,3,6,5
10270371,4,2,6,3,5,3,6,3,6,5
10270474,3,3,6,2,5,4,4,2,6,5
10270540,2,4,5,5,2,5,4,3,4,6
10270624,5,2,7,3,6,3,6,2,6,6
10270847,5,2,5,3,7,3,6,3,6,3
10288304,4,3,7,2,5,3,5,2,6,5
10288907,5,3,7,2,5,3,5,2,6,5
10290591,5,2,5,3,4,3,5,3,5,5
10291341,3,1,6,3,5,5,6,2,6,6
10295692,2,3,5,5,6,6,6,3,4,3
10310934,6,2,5,3,5,2,6,3,6,5
10314870,5,3,7,3,6,3,6,2,6,4
10317326,5,2,5,4,5,3,5,3,5,4
10318720,3,6,5,4,3,4,2,3,4,4
10319013,4,2,5,3,6,4,6,3,6,3
10320108,6,4,4,3,5,2,4,4,5,3
10331151,5,2,6,2,6,3,6,2,6,4
10332599,4,5,6,4,3,4,6,2,5,6
10332661,5,2,6,3,4,3,7,2,6,6
10333863,6,2,6,5,4,2,6,3,5,6
10333977,4,6,3,5,6,3,2,5,3,2
10334514,5,6,5,5,2,3,3,3,2,6
10346871,2,5,5,4,6,5,4,2,5,2
10347192,1,3,6,4,5,7,4,2,5,4
10348325,4,2,3,6,5,3,5,6,3,5
10351970,5,1,6,2,4,3,6,2,6,6
10358415,5,3,5,3,6,3,5,3,5,4
10367266,2,4,5,7,4,5,6,4,2,5
