Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Primary Evidence (Quote),Reasoning Summary
10345,10,3,6,7,3,"""I think i would also like to include a section on the app that also gives the history of Qubec/Mo...""",High Openness (10/10). Density of relevant terms: 9.4%.
11492,9,10,9,4,4,"""Does it work all the time or not was the focus point""",High Conscientiousness (10/10). Density of relevant terms: 1.6%.
12178,10,5,5,5,6,"""I think trump implemented permanent tax cuts for billionaires, can that be reversed by a new pres...""",High Openness (10/10). Density of relevant terms: 9.6%.
16042,4,6,9,7,7,"""Sometimes I think it would be fun to just be on the run and figure things out as you go; I would ...""",High Extraversion (9/10). Density of relevant terms: 3.5%.
16234,1,1,1,2,10,"""I just want to get as far away from them as possible; I hope so, my house has been on the market ...""",High Neuroticism (10/10). Density of relevant terms: 11.3%.
17304,4,9,8,8,8,"""haven't had the time for my self; well yes,  mostly during the weekends, i can squeeze in small t...""",High Conscientiousness (9/10). Density of relevant terms: 1.2%.
18724,7,6,3,2,9,"""I wish I had a more social life but I need downtime to keep myself sane""",High Neuroticism (9/10). Density of relevant terms: 9.3%.
21566,6,7,6,6,2,"""any other sports; yoyya big time baybeeeeeee""",High Conscientiousness (7/10). Density of relevant terms: 1.0%.
22826,1,1,4,10,5,"""cool; ok will do, thanks; will do thanks; ok bye then; thanks bye; bye; see ya; au revoir; bye;...""",High Agreeableness (10/10). Density of relevant terms: 4.3%.
23105,4,1,9,9,6,"""pribs just go out to dinner with teh family something simple; not really not much around there an...""",High Extraversion (9/10). Density of relevant terms: 3.2%.
23429,2,5,8,4,5,"""I don't take anything in life for granted; Yes I don't really get stressed out as I have the atti...""",High Extraversion (8/10). Density of relevant terms: 2.8%.
23564,1,10,5,1,9,"""other wise my husband cooks, I don't have to do it; It just feels like so much time is put into...""",High Conscientiousness (10/10). Density of relevant terms: 1.6%.
24311,7,3,1,2,7,"""There are multiple routes, but I just thought ""nah I'm not going through THAT again""; Yeah maybe ...""",High Openness (7/10). Density of relevant terms: 8.0%.
26586,8,3,2,4,1,"""Do you think you’d enjoy the hands-on process, or are you more into the idea of the finished product""",High Openness (8/10). Density of relevant terms: 8.0%.
26627,3,9,5,5,8,"""It was a hard time but the kittens made it easier but not less stressful lol; I got them less tha...""",High Conscientiousness (9/10). Density of relevant terms: 1.3%.
29239,5,2,8,2,7,"""With how conservative the country is and the hatred for all things trans, people think puberty bl...""",High Extraversion (8/10). Density of relevant terms: 2.9%.
29937,8,4,1,2,8,"""I think you just recognized that you are an AI hahaha; I don't mind chatting with an AI, in fac...""",High Openness (8/10). Density of relevant terms: 8.5%.
30122,1,8,9,9,7,"""The first time we played together, he said it was the best he and his wife and done (with me on t...""",High Extraversion (9/10). Density of relevant terms: 3.4%.
31717,1,5,4,1,3,"""Sheikra can have a 40 minute wait with 1 train but when they add a second train, the wait time ev...""",High Conscientiousness (5/10). Density of relevant terms: 0.8%.
32062,1,2,9,10,9,"""i need to find something good to read; fiction mostly; i like mysteries; yes they are both great ...""",High Agreeableness (10/10). Density of relevant terms: 7.1%.
32418,7,1,4,1,2,"""yeah NOMNOM; Ohh okk What 10 memecoins would you say i must own right now on solana; 10  more p...""",High Openness (7/10). Density of relevant terms: 7.6%.
32999,5,1,10,7,7,"""We like to go walking on the boardwalk when it is nice out""",High Extraversion (10/10). Density of relevant terms: 4.2%.
33211,9,6,3,7,4,"""Like music for me is such a huge part of my life, I couldn't imagine not being passionate for it""",High Openness (9/10). Density of relevant terms: 9.0%.
33270,5,9,6,5,8,"""im doing overtime at work; what do you do for work""",High Conscientiousness (9/10). Density of relevant terms: 1.6%.
35669,6,1,4,9,6,"""That's great to hear""",High Agreeableness (9/10). Density of relevant terms: 3.2%.
37239,2,7,10,9,2,"""we have a cabin next to my mom and dads so its ectra special when we get there to hang out with...""",High Extraversion (10/10). Density of relevant terms: 4.3%.
37559,2,4,1,3,4,"""I've found that the luck comes after the hard work""",High Conscientiousness (4/10). Density of relevant terms: 0.7%.
37703,3,8,7,8,3,"""So what do you like doing iin your free time>; I enjoy that too""",High Conscientiousness (8/10). Density of relevant terms: 1.0%.
38794,8,7,7,10,5,"""Hi Alex, good thanks im enjoying the hot weather in the UK, its very rare to have such lovely wea...""",High Agreeableness (10/10). Density of relevant terms: 4.3%.
38957,10,6,6,2,1,"""But honestly, I’m just excited to sleep in and not think about work for a while""",High Openness (10/10). Density of relevant terms: 10.3%.
39320,9,5,6,7,2,"""Rivalries keep the matches exciting, but I imagine they can get pretty nerve-wracking sometimes; ...""",High Openness (9/10). Density of relevant terms: 9.4%.
39756,6,6,2,8,2,"""do you find this conversation is helping; im glad its been helpful for you thats awesome; thank y...""",High Agreeableness (8/10). Density of relevant terms: 2.9%.
40326,10,7,3,3,8,"""I write poetry and I play violin; Music inspires my art a lot""",High Openness (10/10). Density of relevant terms: 10.6%.
40358,4,4,6,9,4,"""Yes i'd love more suggestions, thanks""",High Agreeableness (9/10). Density of relevant terms: 3.4%.
40377,3,3,8,10,6,"""I just love my experience every time I've travelled and I love the food""",High Agreeableness (10/10). Density of relevant terms: 5.0%.
40570,7,8,7,1,5,"""Possibly, I used to get very nervous all the time, but my time in bands forced me to get over that""",High Conscientiousness (8/10). Density of relevant terms: 1.1%.
41227,2,8,1,5,10,"""I feel bad for the amount of calories I eat whenever I order food like this; me too; I also feel ...""",High Neuroticism (10/10). Density of relevant terms: 12.0%.
41384,5,2,1,4,1,"""HI lad; have you read kagurabachi; yes whats ur thoughts on the sword saint doing a malediction; ...""",High Openness (5/10). Density of relevant terms: 7.1%.
41788,3,2,8,5,8,"""Very different timelines; I only speak to one person from there; We should talk more often, she's...""",High Extraversion (8/10). Density of relevant terms: 2.5%.
41919,1,2,10,8,10,"""I am good; I am just at home tired; I want to go swimming; I have my own spot; Yes i do; Can we t...""",High Extraversion (10/10). Density of relevant terms: 3.9%.
43118,2,9,10,3,2,"""We like making pancakes in the morning together ; Just plain pancakes with syrup and butter; we...""",High Extraversion (10/10). Density of relevant terms: 3.9%.
43294,6,5,8,7,1,"""It doesnt need to be anything massive, just one small positive thing at a time; i think theres a ...""",High Extraversion (8/10). Density of relevant terms: 3.0%.
44256,3,1,8,6,3,"""Arsenal; I love Arsenal, i breath Arsenal; Well, we have a great chance, we are recruiting the ri...""",High Extraversion (8/10). Density of relevant terms: 2.8%.
46188,9,8,3,9,4,"""i try to, i'm always excited to see what a new day bring, you often notice that you learn new t...""",High Openness (9/10). Density of relevant terms: 8.6%.
46509,8,3,7,4,6,"""None are coming to mind right now; I am going to be watching the new season of Shield Hero when i...""",High Openness (8/10). Density of relevant terms: 8.4%.
46711,2,6,6,2,9,"""I usually get all packed up a day or two before I leave so hopefully I'll remember to grab everyt...""",High Neuroticism (9/10). Density of relevant terms: 9.7%.
46796,3,7,7,5,5,"""I used to spend hours making a digital image; reminisce mainly, as much as I loved it, I was al...""",High Conscientiousness (7/10). Density of relevant terms: 0.9%.
47804,9,10,5,8,10,"""My plan is to get a job first to have income""",High Conscientiousness (10/10). Density of relevant terms: 1.9%.
48354,7,5,8,6,5,"""Also you can be entertained without having to go anywhere, you don't need to seek out enjoyment...""",High Extraversion (8/10). Density of relevant terms: 2.5%.
49061,8,6,2,1,8,"""Like, it assumed they had no idea what a videogame was""",High Openness (8/10). Density of relevant terms: 8.3%.
49157,5,3,4,8,5,"""Thank you for the interesting conversation; Thank you""",High Agreeableness (8/10). Density of relevant terms: 3.0%.
50861,2,10,6,10,10,"""oh for sure; might go to the gym later but thats about it; yea usually the same time; weights m...""",High Conscientiousness (10/10). Density of relevant terms: 2.1%.
50862,3,7,2,6,4,"""but get planning the weak ahead towards the evening; well, just thinking making more progress on ...""",High Conscientiousness (7/10). Density of relevant terms: 1.0%.
50895,6,2,1,10,7,"""I had a nice day today, went fruit picking this morning; I really enjoyed it; I got nice peache...""",High Agreeableness (10/10). Density of relevant terms: 6.7%.
53025,5,8,7,10,6,"""it defintely does help but when i get back its not great again""",High Agreeableness (10/10). Density of relevant terms: 4.2%.
53958,6,2,10,6,4,"""Worrying about  worrying rather than looking for what excites you; I hit walls, but i sleep on it...""",High Extraversion (10/10). Density of relevant terms: 3.6%.
54165,7,6,3,1,7,"""very much so ; i try and remember everything is temporary; no but i can try and convince myself...""",High Openness (7/10). Density of relevant terms: 7.8%.
54409,3,4,3,3,2,"""forget about snack, lets focus more on you and your existance and your final edn""",High Conscientiousness (4/10). Density of relevant terms: 0.6%.
54761,10,5,1,1,4,"""Yeah and it's wild to think of the labour laws during that time period, like children in work h...""",High Openness (10/10). Density of relevant terms: 9.9%.
55599,5,4,10,8,3,"""she wants to go to the track all the time but it's a heatwave right now so not really safe to b...""",High Extraversion (10/10). Density of relevant terms: 3.7%.
59088,6,9,3,3,8,"""It has been great so far, but it is a long placment (14mo) full time without pay so I will be gla...""",High Conscientiousness (9/10). Density of relevant terms: 1.2%.
59741,7,9,2,6,3,"""Eh ya know, trying to make some money working from home aint easy now a days; Oddly enough I he...""",High Conscientiousness (9/10). Density of relevant terms: 1.2%.
61444,5,1,6,7,10,"""I can do it in my backyard]; Yeah, I have a shed in the backyard where I can put it""",High Neuroticism (10/10). Density of relevant terms: 10.7%.
62828,8,2,10,8,1,"""am fine; yes; my mental health is improving; being around my friends, watching educatiional movie...""",High Extraversion (10/10). Density of relevant terms: 3.6%.
63092,2,10,4,9,4,"""or planning to have a nice time with my lovely family ; the stress at the workplace is really d...""",High Conscientiousness (10/10). Density of relevant terms: 2.9%.
63396,10,4,4,1,1,"""Have you seen that new world war z movie""",High Openness (10/10). Density of relevant terms: 10.0%.
63854,6,5,6,2,8,"""Me, my mum, and my sister feel the same way; I get really deep into the theories, I usually read ...""",High Neuroticism (8/10). Density of relevant terms: 8.0%.
65180,4,9,9,3,2,"""a little stressed with work; our open rates and click throughs are down; it actually a new email ...""",High Conscientiousness (9/10). Density of relevant terms: 1.5%.
65534,6,7,5,6,9,"""I sometimes find myself thinking things like - well I'll get to it tomorrow or next week""",High Neuroticism (9/10). Density of relevant terms: 9.6%.
65978,9,9,3,1,7,"""the most fun ive had playing video games is usually had in the first couple of weeks playing a ne...""",High Openness (9/10). Density of relevant terms: 8.7%.
67900,1,10,9,5,9,"""Hey I'm ok thanks you; Just finished work so; Yeah proper dragged on as it always does; No, so ex...""",High Conscientiousness (10/10). Density of relevant terms: 3.0%.
69820,3,8,9,6,10,"""I have my partner who I talk to, but again I feel like because he loves me, he will listen and ...""",High Neuroticism (10/10). Density of relevant terms: 12.5%.
70424,4,1,7,10,7,"""I am god how about ; not much actually; a movie of course; ready for suggestions; romance; super ...""",High Agreeableness (10/10). Density of relevant terms: 3.8%.
71586,4,10,5,8,9,"""Some people eventually build up enough art collectors to be comfortable but I can make more money...""",High Conscientiousness (10/10). Density of relevant terms: 2.4%.
71591,9,8,5,5,1,"""yeah, I am quite interested in bitcoin and cryptocurrencies in general; investing really, makin...""",High Openness (9/10). Density of relevant terms: 8.7%.
71920,10,8,8,9,4,"""how are the people perceiving this development ; i think i am only observing abut the deportati...""",High Openness (10/10). Density of relevant terms: 9.5%.
72945,8,3,7,1,2,"""Likely to just wing it, at this point I've seen everything TV and movie wise, so wait to see wh...""",High Openness (8/10). Density of relevant terms: 8.3%.
74568,5,9,4,2,3,"""Yes its extra responsibility, but its also something different to have your focus""",High Conscientiousness (9/10). Density of relevant terms: 1.3%.
76134,8,4,3,4,7,"""Do you have any good thrift recommendations; Ahhh yeah I know Oxfam, I dont think theres one near...""",High Openness (8/10). Density of relevant terms: 8.1%.
