Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Reasoning (Brief)
9804092,6,6,7,8,7,"Uses social words (""my friend""), shows empathy (""wish you well""), but admits to frequent worry (""stressed out"")."
9804125,8,2,3,1,9,"High usage of abstract/nihilistic concepts (""existence"", ""universe""), hostile tone (""midwits""), extremely high distress words."
9804355,8,9,8,9,4,"Sophisticated vocabulary (""gentle pulse""), achievement-oriented (""honors"", ""rehab specialist""), very social and polite."
9804410,9,3,2,6,10,"High interest in literature (""Kafka""), but self-deprecating language (""failures"", ""suicidal""), social withdrawal."
9804421,5,8,6,1,7,"Goal-focused (""solve problems"", ""make money""), aggressive/insulting language (""weak ass""), irritable."
9804579,8,5,2,7,8,"Artistic interests (""guitar"", ""art""), explicitly states ""introverted"", uses words related to anxiety (""overwhelm"")."
9804926,8,7,4,6,8,"Creative (""create tools""), ambitious (""own a business""), but uses heavy distress words (""depressed"", ""struggling"")."
9805587,9,5,6,9,8,"Imaginative (""storytelling"", ""Halloween""), highly empathetic (""unconditional love""), admits to ""overthinking""."
10117124,8,7,2,8,8,"Fantasy reader (""escape""), organized advice, explicitly ""introverted"", discusses ""panic"" and ""nerves""."
10117126,5,6,8,8,3,"Sports-focused (""competitive"", ""football""), social (""play with friends""), stable and positive tone."
10117128,7,7,7,7,4,"Interest in travel/continents, active job (""sailor"", ""cardio""), generally positive (""full of wisdom"")."
10117133,3,8,5,5,7,"Routine-oriented (""dentist"", ""cleaning""), critical tone, expresses tiredness and worry."
10117140,5,8,9,9,2,"High energy (""personal trainer"", ""active""), family-oriented (""play with them""), very low negative emotion."
10117146,6,6,5,5,7,"Interest in film, disciplined (""breathing exercises""), but language reflects ""grief"", ""sour mood"", and pessimism."
10117148,8,4,3,9,9,"Aesthetic appreciation (""beautify"", ""wildlife""), low energy (""exhausting""), high anxiety words (""fixating"", ""severe"")."
10117150,7,7,3,8,8,"Creative cooking, competence (""good at""), solitary hobbies (""hikes by myself""), expresses ""irrational fears""."
10117154,8,6,2,5,10,"Creative (""developing games"", ""poetry""), cynical (""meaninglessness""), extreme distress (""refuse pile"", ""death"")."
10117165,8,9,6,9,4,"Growth-oriented (""learning French""), disciplined (""resolutions""), supportive language."
10117171,9,8,1,5,9,"Creative (""write books""), disciplined (""meeting financial goals""), extreme isolation words (""loneliness"", ""betrayed"")."
10117181,8,6,8,9,3,"Nature loving (""reptiles"", ""flowers""), optimistic language (""law of attraction""), social (""love to shop"")."
10117189,8,5,5,9,7,"Cultural interests (""Saltburn"", ""Alt-rock""), empathetic, admits to ""stress"" and ""money issues""."
10117196,5,3,5,5,2,"Very brief, relaxed language (""enjoying my day"", ""trip"")."
10117204,7,8,3,6,5,"Constructive (""fixing"", ""building games""), solitary relaxation (""beer"", ""sun""), practical tone."
10117263,5,8,5,8,6,"Routine-focused (""fasting"", ""elliptical""), polite, some restlessness/guilt expressed."
10117266,9,9,4,8,6,"Intellectual (""atomic habits"", ""learning""), productivity-focused, travel interests, mild worry."
10117310,3,8,5,9,2,"Concrete/Routine language (""office"", ""peaceful""), highly polite and supportive."
10117352,9,4,8,9,6,"Curiosity (""dinosaurs"", ""exploring""), high social engagement (""boyfriend"", ""siblings""), some nervousness."
10117424,6,8,9,9,2,"Celebration-focused (""birthday"", ""steakhouse""), family-oriented (""granddaughter""), grateful/religious tone."
10117478,10,6,3,2,7,"High culture (""Schubert"", ""Russian poem""), aggressive questioning (""duplicitous""), annoyed tone."
10117696,7,7,6,8,6,"Creative cooking (""homemade""), sentimental (""love letter""), admits to stress/mistakes."
10117760,8,6,5,8,3,"Sci-fi interest (""Blade Runner""), freelance work, polite and supportive."
10117874,6,8,6,9,7,"Organized (""planning""), supportive (""glad to hear""), admits to ""racing brain"" and anxiety."
10117912,8,6,7,8,4,"Musical (""singing lyrics""), sports fan, generally positive (""goofy things"")."
10117950,10,8,6,8,3,"Rare vocabulary (""charango"", ""macroeconomics""), intellectual discipline (""read every day""), stable."
10118016,9,8,4,6,6,"Analytical (""biases"", ""logic errors""), hypothetical thinking (""oil rig""), slightly anxious."
10118261,9,6,6,8,5,"Fantasy/Gaming (""Zelda"", ""MtG""), friendly, mild restlessness."
10118268,10,8,3,2,3,"Esoteric vocabulary (""Gnostic"", ""Demiurge""), intellectual arrogance (""midwits""), low agreeableness."
10118299,9,5,6,9,7,"Gaming culture (""JRPGs"", ""Baldur's Gate""), warm/friendly, admits to ""generalized anxiety""."
10269258,7,2,3,4,8,"Anime interests (""Konosuba""), low discipline (""procrastinator""), high distress (""mania"")."
10269277,6,6,6,8,6,"Pop culture (""Taylor Swift""), reading, polite, admits to ""brain running wild""."
10269286,8,8,6,8,3,"Historical fiction (""Michener""), disciplined (""volunteer""), perspective-focused."
10269296,8,8,8,9,6,"Narrative focus (""write a book""), high energy (""marathon"", ""hustle""), empathetic."
10269305,8,6,6,8,7,"Complex literature (""McCarthy""), musical difficulty (""piano""), family-oriented, anxious (""bills"")."
10269314,10,9,8,9,2,"Tech/AI interests, language learning, highly goal-oriented (""strategy"", ""business"")."
10269319,7,8,8,10,6,"Nature/Docs, responsibility (""dog owner""), extremely high agreeableness (""sympathize"", ""wonderful"")."
10269353,8,8,8,9,6,"Metaphorical language (""monsters"", ""manuals""), endurance-focused, social (""rum and coke"")."
10269413,6,7,3,4,6,"Analytical (""logic problems""), opinionated (""psyop""), introverted (""alone time"")."
10269434,8,6,5,8,6,"Dark lit (""Blood Meridian""), skill learning (""guitar""), polite."
10269440,8,9,5,8,7,"Artistic (""painting journey""), highly structured (""Pomodoro""), body image anxiety."
10269445,4,6,5,8,8,"Focus on loss/grief (""dog dying""), financial worry, supportive."
10269450,6,6,6,8,9,"Pop culture (""GTA5""), extreme distress language (""worse day of life"", ""constant struggle"")."
10269475,9,8,3,8,3,"Specific interests (""San Marzano tomatoes""), independent (""space I can call my own""), stable."
10269476,6,8,9,9,3,"Planning/Logistics (""electric bus"", ""school district""), high social (""large group""), positive."
10269598,6,8,6,5,3,"Pop culture gossip (""Royals""), disciplined (""kickboxing""), opinionated (""delusional"")."
10269734,5,8,8,10,6,"Community-focused (""village""), grateful (""blessings""), resilient (""get up"")."
10269900,8,2,2,2,8,"Chaotic/Esoteric (""radon"", ""gout""), hostile humor (""old flea bag""), cynical."
10269912,5,6,8,9,5,"Theme parks (""Dollywood""), enthusiastic (""fun""), polite."
10269942,8,4,2,8,9,"Tech/Sims (""steering wheel""), isolated (""disabled""), high distress (""depression"")."
10270008,8,6,8,8,3,"Music scenes (""Metal"", ""Brewery""), energetic (""pumped""), social."
10270100,9,6,5,8,7,"Psychology reading (""Gabor Mate""), writing, desire for connection, ""sick/worry""."
10270275,7,3,3,8,3,"Fantasy (""LotR""), observational, low energy (""stay inside"")."
10270371,7,8,6,8,5,"Work-focused (""social services""), reading, balanced tone."
10270474,8,8,3,7,5,"Abstract thinking (""music is math""), skill building, nature preference."
10270540,5,6,3,6,7,"Concrete/Routine (""mow grass""), existential worry (""meaning of life""), health stress."
10270624,9,8,8,9,2,"Cultural curiosity (""NHK"", ""Japan""), family pride (""son""), planning."
10270847,9,6,6,9,5,"Sci-fi/Fantasy (""Murderbot""), humor (""jokes""), enthusiasm (""eclipse"")."
10288304,8,9,6,8,3,"Analytical (""credit analyst""), reading (""Blue Sword""), organized (""seeds"")."
10288907,7,8,6,8,3,"Outdoor interests (""hunting""), disciplined (""manager"", ""gratitude""), stable."
10290591,6,8,7,8,5,"Entrepreneurial (""launch business""), crafts, enthusiastic."
10291341,10,8,5,9,3,"Niche historical interests (""amigurumi history"", ""public domain""), detailed, kind."
10295692,9,7,5,8,6,"Niche music (""Math rock""), philosophy (""trust process""), graphic design."
10310934,6,6,9,9,2,"Sports fan (""Arsenal""), high social activity (""girlfriends""), happy."
10314870,8,9,8,9,5,"Science interest (""marine bio""), high pressure job (""Trauma""), supportive."
10317326,6,6,8,8,6,"Student life, social (""drink"", ""friends""), business ideas (""PLR"")."
10318720,5,6,3,2,6,"Confrontational (""not real"", ""give me money""), focused on ""land"" and ""survival""."
10319013,9,6,5,8,5,"Artistic (""street art"", ""photography""), complex gaming (""Disco Elysium"")."
10320108,6,4,8,8,3,"Music (""Afro beats""), money-focused, relaxed (""chilling"")."
10331151,8,8,8,9,2,"Civic engagement (""voting""), travel (""Thailand""), high social energy."
10332599,4,8,6,8,6,"Traditional/Religious (""prayer""), work-focused (""project""), political dissatisfaction."
10332661,5,8,8,9,5,"Service-oriented (""volunteer""), family (""mom""), routine."
10333863,6,8,9,9,6,"Life milestones (""pregnant"", ""house""), social, adventurous eating."
10333977,10,3,2,3,8,"Philosophical (""happiness isn't real""), writing, cynical/distressed."
10334514,2,8,7,2,8,"Traditional/Conservative values, aggressive language (""fucked"", ""pissed""), group-oriented."
10346871,9,8,2,4,6,"Alternative theories (""Vitamin A toxicity""), strict diet, skeptical of mainstream."
10347192,6,8,2,6,6,"Skill learning (""plumbing""), solitary, feelings of inadequacy."
10348325,6,3,9,8,8,"Social (""college fests"", ""dating""), messy/moody, high stress (""suffering"")."
10351970,5,5,6,8,3,"General interests (""classics"", ""Super Bowl""), polite, relaxed."
10358415,6,8,8,8,2,"Service job (""magical moments""), pop culture (""Griselda""), energetic."
10367266,7,6,3,5,8,"Appreciation of beauty (""architecture""), isolation (""alone""), financial stress (""need a car"")."
