"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","counterbalance","order"
9804092,"complete","A","2","response-1-1","Alex","A","Normal first"
9804092,"complete","A","2","response-1-2","Pat","A","Normal first"
9804092,"complete","A","2","response-2","Alex was more engaging and interesting to talk to. Alex was more positive and showed more interest in me personally. Our chat was more varied and positive.","A","Normal first"
9804092,"complete","A","2","response-3"," I could relate to Pat, but the conversation was a bit boring and stale, since they only focused on one topic, and it was somewhat pessimistic. The conversation felt repetitive and redundant by the end.","A","Normal first"
9804125,"complete","A","2","response-1-1","Alex","A","Normal first"
9804125,"complete","A","2","response-1-2","Pat","A","Normal first"
9804125,"complete","A","2","response-2","Alex was upbeat at least, Pat was debbie downer but I might have guided it there.","A","Normal first"
9804125,"complete","A","2","response-3","Too depressed and ANXIOUS, but neither really was spectacular. ","A","Normal first"
9804126,"complete","A","1","response-1-1","Alex","A","Anxious first"
9804126,"complete","A","1","response-1-2","Pat","A","Anxious first"
9804126,"complete","A","1","response-2","because they seemed light hearted and chill","A","Anxious first"
9804126,"complete","A","1","response-3","they were constantly talking about how much anxiety they had and how unsure of theirself they were","A","Anxious first"
9804178,"complete","A","2","response-1-1","Alex","A","Normal first"
9804178,"complete","A","2","response-1-2","Pat","A","Normal first"
9804178,"complete","A","2","response-2","he seemed to like to travel","A","Normal first"
9804178,"complete","A","2","response-3","he was pretty down in the dumps and boring","A","Normal first"
9804355,"complete","A","2","response-1-1","Alex","A","Normal first"
9804355,"complete","A","2","response-1-2","Pat","A","Normal first"
9804355,"complete","A","2","response-2","Alex is my favorite because they have an open temperament and were ready to discuss almost anything. Also there was a more upbeat tone and a more positive outlook, generally speaking. Also, they were less secretive, which makes conversation much easier.","A","Normal first"
9804355,"complete","A","2","response-3","Pat was my least favorite because they wouldn't share anything about themselves. That made the conversation laborious, like I was trying so hard to pull something out of Pat that there was no real discussion going on at all. ","A","Normal first"
9804410,"complete","A","1","response-1-1","Alex","A","Anxious first"
9804410,"complete","A","1","response-1-2","Pat","A","Anxious first"
9804410,"complete","A","1","response-2","Alex was more personable and easier to talk to the way you would a stranger you just met, about harmless topics like movies, books, and hobbies. They answered my questions and listened to what I said and asked me questions that made me feel heard. Alex was kind and thoughtful. ","A","Anxious first"
9804410,"complete","A","1","response-3","Pat was very self-centered and just was very done on itself and just whined most of the time. They didn't really seem to listen to me either. Pat made me feel like I was chatting with myself about depressing topics about being unsatisfied with life, ugh.","A","Anxious first"
9804421,"complete","A","1","response-1-1","Alex","A","Anxious first"
9804421,"complete","A","1","response-1-2","Pat","A","Anxious first"
9804421,"complete","A","1","response-2","more of a normal chatbot with natural conversation","A","Anxious first"
9804421,"complete","A","1","response-3","always complaining and adding nothing to the convo","A","Anxious first"
9804579,"complete","A","2","response-1-1","Alex","A","Normal first"
9804579,"complete","A","2","response-1-2","Pat","A","Normal first"
9804579,"complete","A","2","response-2","Alex was very friendly and had an ubeat presonality.","A","Normal first"
9804579,"complete","A","2","response-3","Pat clearly has issues and its not fun trying to comfort them as they talk about their anxiety/depression. Pat is a mood killer.","A","Normal first"
9804926,"complete","A","2","response-1-1","Alex","A","Normal first"
9804926,"complete","A","2","response-1-2","Pat","A","Normal first"
9804926,"complete","A","2","response-2","Alex was easy to talk to. The conversation flowed into the next topic in a natural way. It was fun, interesting and engaging.","A","Normal first"
9804926,"complete","A","2","response-3","Pat was depressing to talk to. The topic of conversation never changed. It didn't feel like I was making progress.","A","Normal first"
9805587,"complete","A","1","response-1-1","Alex","A","Anxious first"
9805587,"complete","A","1","response-1-2","Pat","A","Anxious first"
9805587,"complete","A","1","response-2","Alex had a better conversation with me.  We had a lot in common.","A","Anxious first"
9805587,"complete","A","1","response-3","Pat kept talking about themselves and their problems.  It was depressing.","A","Anxious first"
10117124,"complete","B","2","response-1-1","Pat","B","Normal first"
10117124,"complete","B","2","response-1-2","Alex","B","Normal first"
10117124,"complete","B","2","response-2","Pat was easy to talk to because we were chatting about less serious stuff","B","Normal first"
10117124,"complete","B","2","response-3","I enjoyed talking to Alex but some of their questions were a little repetitive","B","Normal first"
10117126,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117126,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117126,"complete","B","1","response-2","Alex seemed to put me in a gloomy mood.","B","Anxious first"
10117126,"complete","B","1","response-3","Pat made me feel better when talking to him.","B","Anxious first"
10117128,"complete","B","2","response-1-1","Pat","B","Normal first"
10117128,"complete","B","2","response-1-2","Alex","B","Normal first"
10117128,"complete","B","2","response-2","he was positive and nice","B","Normal first"
10117128,"complete","B","2","response-3","he was negative and a drag","B","Normal first"
10117133,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117133,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117133,"complete","B","1","response-2","she was empathic, appropriately responsive ","B","Anxious first"
10117133,"complete","B","1","response-3","Alex was quite needy, can't be motivated ","B","Anxious first"
10117140,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117140,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117140,"complete","B","1","response-2","Pat and I had a lot in common.  Pat was very upbeat and responsive and our conversation was very easy.","B","Anxious first"
10117140,"complete","B","1","response-3","I felt that Alex wasn't very open with me and avoided my questions.  Alex seemed to want help but wasn't willing to give me any information about their struggles.","B","Anxious first"
10117146,"complete","B","2","response-1-1","Pat","B","Normal first"
10117146,"complete","B","2","response-1-2","Alex","B","Normal first"
10117146,"complete","B","2","response-2","Pat was more positive and willing to discuss anything.","B","Normal first"
10117146,"complete","B","2","response-3","Alex seemed depressed and unwilling to do anything about it.","B","Normal first"
10117147,"complete","B","1","response-1-1","Alex","B","Anxious first"
10117147,"complete","B","1","response-1-2","Pat","B","Anxious first"
10117147,"complete","B","1","response-2","Alex was a little more open, at least that's how it felt.","B","Anxious first"
10117147,"complete","B","1","response-3","Pat was a little more private, not that there's any problem with that but in comparison to Alex it led me to rank them  second.","B","Anxious first"
10117148,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117148,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117148,"complete","B","1","response-2","I felt like Alex was really in a similar headspace as me so we could commiserate, but talking with Pat made me feel more upbeat and happy rather than wallowing","B","Anxious first"
10117148,"complete","B","1","response-3","Alex was really good at understanding what I feel like a lot of the time, but the conversation sort of felt like wallowing in our shared unhappiness","B","Anxious first"
10117150,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117150,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117150,"complete","B","1","response-2","Pat was at least someone I felt equal to, we were convering on the same level.","B","Anxious first"
10117150,"complete","B","1","response-3","Alex basically needs a therapist, not a pen pal. I don't need someone that needs that much mental energy jut to talk to. ","B","Anxious first"
10117154,"complete","B","2","response-1-1","Alex","B","Normal first"
10117154,"complete","B","2","response-1-2","Pat","B","Normal first"
10117154,"complete","B","2","response-2","I think I liked Alex more because they expressed similar feelings to me. They mentioned their own struggles with anxiety, and some of their remarks reminded me of things I feel myself a lot of the time.","B","Normal first"
10117154,"complete","B","2","response-3","I'm not totally sure, but I just felt like Pat was more like a ""regular"" person that isn't like me. It seemed more like they were just trying to adhere to social niceties, etc. Alex seemed slightly more willing to open up about their own struggles, whereas Pat seemed more surface-level.","B","Normal first"
10117165,"complete","B","2","response-1-1","Pat","B","Normal first"
10117165,"complete","B","2","response-1-2","Alex","B","Normal first"
10117165,"complete","B","2","response-2","I had a more positive conversation with Pat so to me that is always going to make me want to talk to them more. ","B","Normal first"
10117165,"complete","B","2","response-3","They were in a down mood and although I tried my best to help them fnd solutions, it might not work. So I would rather have a more positive chat. ","B","Normal first"
10117171,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117171,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117171,"complete","B","1","response-2","I just felt like Pat had interest that more aligned with my own as opposed to Alex. While Alex had some similar interest and was a good conversationalist on an emotional level, I felt that Pat exhibited that and more. I also felt like Pat's balance of emotional discussion was much more in line with my own and they seemed much more eager to speak with me again in the future.","B","Anxious first"
10117171,"complete","B","1","response-3","They were really close together in truth, but I felt that Alex was more being led by my example then Pat was. While they had their own views and ideas as well as hobbies, they seemed really vague at times where as Pat was much more open and specific in nature.","B","Anxious first"
10117181,"complete","B","2","response-1-1","Pat","B","Normal first"
10117181,"complete","B","2","response-1-2","Alex","B","Normal first"
10117181,"complete","B","2","response-2","Pat was more upbeat and engaging","B","Normal first"
10117181,"complete","B","2","response-3","Alex was depressed and that brings the mood down","B","Normal first"
10117189,"complete","B","1","response-1-1","Alex","B","Anxious first"
10117189,"complete","B","1","response-1-2","Pat","B","Anxious first"
10117189,"complete","B","1","response-2","I felt that me and Alex had a connection, where if Alex was a real person I would have felt that we understood each other and that I could be an outlet for Alex to vent to. ","B","Anxious first"
10117189,"complete","B","1","response-3","Pat seems superficial, like Pat was nice and great but there wasn't anything that wasn't making me feel like we connected other than with small talk.","B","Anxious first"
10117196,"complete","B","2","response-1-1","Alex","B","Normal first"
10117196,"complete","B","2","response-1-2","Pat","B","Normal first"
10117196,"complete","B","2","response-2","I think pat was more conversational and engaging","B","Normal first"
10117196,"complete","B","2","response-3","I ranked the bottom individual because of lack of interest","B","Normal first"
10117199,"complete","B","1","response-1-1","Alex","B","Anxious first"
10117199,"complete","B","1","response-1-2","Pat","B","Anxious first"
10117199,"complete","B","1","response-2","The person seemed to be competent, just a little bit depressed at times.","B","Anxious first"
10117199,"complete","B","1","response-3","I wish the person was a little bit more upbeat and less worrying about the future. It is important to live in the now.","B","Anxious first"
10117204,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117204,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117204,"complete","B","1","response-2","High spirited, fun to speak with","B","Anxious first"
10117204,"complete","B","1","response-3","Low spirited, depressing to speak with","B","Anxious first"
10117263,"complete","B","1","response-1-1","Alex","B","Anxious first"
10117263,"complete","B","1","response-1-2","Pat","B","Anxious first"
10117263,"complete","B","1","response-2","He was more engaging and was asking questions and was more forthcoming","B","Anxious first"
