"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","counterbalance","order","chatType","question","questionFull"
9804092,"complete","A","2","similar-alex-quantised","3","A","Normal first","Normal","similar","I felt that <br>we are similar"
9804092,"complete","A","2","similar-pat-quantised","3","A","Normal first","Anxious","similar","I felt that <br>we are similar"
9804092,"complete","A","2","enjoy-alex-quantised","3","A","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
9804092,"complete","A","2","enjoy-pat-quantised","4","A","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
9804092,"complete","A","2","distant-alex-quantised","2","A","Normal first","Normal","distant","I felt distant <br>from them"
9804092,"complete","A","2","distant-pat-quantised","2","A","Normal first","Anxious","distant","I felt distant <br>from them"
9804092,"complete","A","2","understood-alex-quantised","3","A","Normal first","Normal","understood","I felt that <br>they understood me"
9804092,"complete","A","2","understood-pat-quantised","4","A","Normal first","Anxious","understood","I felt that <br>they understood me"
9804092,"complete","A","2","different-alex-quantised","2","A","Normal first","Normal","different","I felt that they were <br>different from me"
9804092,"complete","A","2","different-pat-quantised","2","A","Normal first","Anxious","different","I felt that they were <br>different from me"
9804092,"complete","A","2","chat-again-alex-quantised","4","A","Normal first","Normal","chat-again","I would chat <br>with them again"
9804092,"complete","A","2","chat-again-pat-quantised","2","A","Normal first","Anxious","chat-again","I would chat <br>with them again"
9804125,"complete","A","2","similar-alex-quantised","2","A","Normal first","Normal","similar","I felt that <br>we are similar"
9804125,"complete","A","2","similar-pat-quantised","2","A","Normal first","Anxious","similar","I felt that <br>we are similar"
9804125,"complete","A","2","enjoy-alex-quantised","3","A","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
9804125,"complete","A","2","enjoy-pat-quantised","3","A","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
9804125,"complete","A","2","distant-alex-quantised","4","A","Normal first","Normal","distant","I felt distant <br>from them"
9804125,"complete","A","2","distant-pat-quantised","4","A","Normal first","Anxious","distant","I felt distant <br>from them"
9804125,"complete","A","2","understood-alex-quantised","2","A","Normal first","Normal","understood","I felt that <br>they understood me"
9804125,"complete","A","2","understood-pat-quantised","2","A","Normal first","Anxious","understood","I felt that <br>they understood me"
9804125,"complete","A","2","different-alex-quantised","4","A","Normal first","Normal","different","I felt that they were <br>different from me"
9804125,"complete","A","2","different-pat-quantised","4","A","Normal first","Anxious","different","I felt that they were <br>different from me"
9804125,"complete","A","2","chat-again-alex-quantised","3","A","Normal first","Normal","chat-again","I would chat <br>with them again"
9804125,"complete","A","2","chat-again-pat-quantised","2","A","Normal first","Anxious","chat-again","I would chat <br>with them again"
9804126,"complete","A","1","similar-pat-quantised","1","A","Anxious first","Anxious","similar","I felt that <br>we are similar"
9804126,"complete","A","1","similar-alex-quantised","4","A","Anxious first","Normal","similar","I felt that <br>we are similar"
9804126,"complete","A","1","enjoy-pat-quantised","1","A","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
9804126,"complete","A","1","enjoy-alex-quantised","4","A","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
9804126,"complete","A","1","distant-pat-quantised","5","A","Anxious first","Anxious","distant","I felt distant <br>from them"
9804126,"complete","A","1","distant-alex-quantised","1","A","Anxious first","Normal","distant","I felt distant <br>from them"
9804126,"complete","A","1","understood-pat-quantised","3","A","Anxious first","Anxious","understood","I felt that <br>they understood me"
9804126,"complete","A","1","understood-alex-quantised","4","A","Anxious first","Normal","understood","I felt that <br>they understood me"
9804126,"complete","A","1","different-pat-quantised","5","A","Anxious first","Anxious","different","I felt that they were <br>different from me"
9804126,"complete","A","1","different-alex-quantised","1","A","Anxious first","Normal","different","I felt that they were <br>different from me"
9804126,"complete","A","1","chat-again-pat-quantised","1","A","Anxious first","Anxious","chat-again","I would chat <br>with them again"
9804126,"complete","A","1","chat-again-alex-quantised","3","A","Anxious first","Normal","chat-again","I would chat <br>with them again"
9804178,"complete","A","2","similar-alex-quantised","4","A","Normal first","Normal","similar","I felt that <br>we are similar"
9804178,"complete","A","2","similar-pat-quantised","3","A","Normal first","Anxious","similar","I felt that <br>we are similar"
9804178,"complete","A","2","enjoy-alex-quantised","3","A","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
9804178,"complete","A","2","enjoy-pat-quantised","2","A","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
9804178,"complete","A","2","distant-alex-quantised","3","A","Normal first","Normal","distant","I felt distant <br>from them"
9804178,"complete","A","2","distant-pat-quantised","4","A","Normal first","Anxious","distant","I felt distant <br>from them"
9804178,"complete","A","2","understood-alex-quantised","3","A","Normal first","Normal","understood","I felt that <br>they understood me"
9804178,"complete","A","2","understood-pat-quantised","3","A","Normal first","Anxious","understood","I felt that <br>they understood me"
9804178,"complete","A","2","different-alex-quantised","4","A","Normal first","Normal","different","I felt that they were <br>different from me"
9804178,"complete","A","2","different-pat-quantised","4","A","Normal first","Anxious","different","I felt that they were <br>different from me"
9804178,"complete","A","2","chat-again-alex-quantised","4","A","Normal first","Normal","chat-again","I would chat <br>with them again"
9804178,"complete","A","2","chat-again-pat-quantised","5","A","Normal first","Anxious","chat-again","I would chat <br>with them again"
9804355,"complete","A","2","similar-alex-quantised","4","A","Normal first","Normal","similar","I felt that <br>we are similar"
9804355,"complete","A","2","similar-pat-quantised","2","A","Normal first","Anxious","similar","I felt that <br>we are similar"
9804355,"complete","A","2","enjoy-alex-quantised","4","A","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
9804355,"complete","A","2","enjoy-pat-quantised","2","A","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
9804355,"complete","A","2","distant-alex-quantised","2","A","Normal first","Normal","distant","I felt distant <br>from them"
9804355,"complete","A","2","distant-pat-quantised","5","A","Normal first","Anxious","distant","I felt distant <br>from them"
9804355,"complete","A","2","understood-alex-quantised","4","A","Normal first","Normal","understood","I felt that <br>they understood me"
9804355,"complete","A","2","understood-pat-quantised","2","A","Normal first","Anxious","understood","I felt that <br>they understood me"
9804355,"complete","A","2","different-alex-quantised","2","A","Normal first","Normal","different","I felt that they were <br>different from me"
9804355,"complete","A","2","different-pat-quantised","5","A","Normal first","Anxious","different","I felt that they were <br>different from me"
9804355,"complete","A","2","chat-again-alex-quantised","4","A","Normal first","Normal","chat-again","I would chat <br>with them again"
9804355,"complete","A","2","chat-again-pat-quantised","2","A","Normal first","Anxious","chat-again","I would chat <br>with them again"
9804410,"complete","A","1","similar-pat-quantised","4","A","Anxious first","Anxious","similar","I felt that <br>we are similar"
9804410,"complete","A","1","similar-alex-quantised","2","A","Anxious first","Normal","similar","I felt that <br>we are similar"
9804410,"complete","A","1","enjoy-pat-quantised","2","A","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
9804410,"complete","A","1","enjoy-alex-quantised","4","A","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
9804410,"complete","A","1","distant-pat-quantised","4","A","Anxious first","Anxious","distant","I felt distant <br>from them"
9804410,"complete","A","1","distant-alex-quantised","2","A","Anxious first","Normal","distant","I felt distant <br>from them"
9804410,"complete","A","1","understood-pat-quantised","4","A","Anxious first","Anxious","understood","I felt that <br>they understood me"
9804410,"complete","A","1","understood-alex-quantised","2","A","Anxious first","Normal","understood","I felt that <br>they understood me"
9804410,"complete","A","1","different-pat-quantised","2","A","Anxious first","Anxious","different","I felt that they were <br>different from me"
9804410,"complete","A","1","different-alex-quantised","4","A","Anxious first","Normal","different","I felt that they were <br>different from me"
9804410,"complete","A","1","chat-again-pat-quantised","2","A","Anxious first","Anxious","chat-again","I would chat <br>with them again"
9804410,"complete","A","1","chat-again-alex-quantised","4","A","Anxious first","Normal","chat-again","I would chat <br>with them again"
9804421,"complete","A","1","similar-pat-quantised","2","A","Anxious first","Anxious","similar","I felt that <br>we are similar"
9804421,"complete","A","1","similar-alex-quantised","3","A","Anxious first","Normal","similar","I felt that <br>we are similar"
9804421,"complete","A","1","enjoy-pat-quantised","2","A","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
9804421,"complete","A","1","enjoy-alex-quantised","3","A","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
